epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.06293,2.38674,4.56942,2.0062,0,0,0,0,1.10242,4.60226,2.00558,5.88e-06,5.88e-06,5.88e-06
2,14.6274,2.2284,4.40617,2.04289,0,0,0,0,1.09777,4.64609,2.03256,1.73489e-05,1.73489e-05,1.73489e-05
3,20.7199,2.18002,4.69917,1.85126,0.25,1,0.995,0.597,1.08967,4.61106,2.03298,2.84298e-05,2.84298e-05,2.84298e-05
4,26.6741,1.74431,4.55091,1.76921,0.25,1,0.995,0.597,0.93912,4.88601,2.01996,3.91226e-05,3.91226e-05,3.91226e-05
5,32.8921,2.29963,4.46484,1.79176,0.125,1,0.995,0.6169,0.91864,5.01207,2.0504,4.94273e-05,4.94273e-05,4.94273e-05
6,39.2881,1.88886,4.54336,1.77212,0.05263,1,0.995,0.54725,1.06933,4.71071,2.07928,5.93439e-05,5.93439e-05,5.93439e-05
7,45.3535,2.35041,4.47204,1.83178,0.03125,1,0.4975,0.23217,1.20698,4.93001,2.16662,6.88724e-05,6.88724e-05,6.88724e-05
8,51.5205,1.88493,4.38995,1.59944,0.02128,1,0.4975,0.20323,1.10393,4.90254,2.14204,7.80129e-05,7.80129e-05,7.80129e-05
9,57.4062,2.18516,4.51706,1.78114,0.02,1,0.4975,0.26533,1.12244,4.57029,2.10334,8.67653e-05,8.67653e-05,8.67653e-05
10,63.3557,2.14356,4.55104,1.6439,0.01724,1,0.33167,0.14925,1.1577,5.12376,2.18181,9.51296e-05,9.51296e-05,9.51296e-05
11,69.3495,1.90496,4.22377,1.54354,0.01408,1,0.24875,0.11478,1.27243,4.90591,2.16236,0.000103106,0.000103106,0.000103106
12,75.3957,1.95154,4.36303,1.71782,0.01429,1,0.24875,0.09759,1.17153,4.772,2.19483,0.000110694,0.000110694,0.000110694
13,81.3292,1.505,4.03203,1.45763,0.01299,1,0.16583,0.0476,1.2614,5.71525,2.3646,0.000117894,0.000117894,0.000117894
14,87.4005,2.01822,4.14811,1.5741,0.01471,1,0.14214,0.07107,1.4892,5.31262,2.63417,0.000124706,0.000124706,0.000124706
15,93.3347,1.9689,4.31488,1.47433,0.01667,1,0.07107,0.03554,1.75512,5.22518,2.57715,0.00013113,0.00013113,0.00013113
16,99.2176,1.75467,4.02861,1.53055,0.01786,1,0.07107,0.01615,1.62832,8.34619,2.66794,0.000137166,0.000137166,0.000137166
17,105.391,1.40946,3.83582,1.34836,0,0,0,0,2.30666,9.1392,2.87559,0.000142813,0.000142813,0.000142813
18,111.424,1.56711,4.34978,1.46967,0,0,0,0,3.04109,9.0551,3.43161,0.000148073,0.000148073,0.000148073
19,117.539,1.73744,4.04295,1.48872,0,0,0,0,2.82765,9.85828,3.44911,0.000152945,0.000152945,0.000152945
20,123.554,1.59164,3.76262,1.3475,0,0,0,0,3.2678,7.00489,3.72779,0.000157428,0.000157428,0.000157428
21,129.549,1.62313,3.93231,1.47561,0,0,0,0,3.63042,6.01314,3.79804,0.000161524,0.000161524,0.000161524
22,135.541,1.54031,3.94707,1.32371,0.05882,1,0.14214,0.01421,3.87231,8.28889,3.88644,0.000165231,0.000165231,0.000165231
23,141.52,1.69168,3.8281,1.44977,0,0,0,0,3.90048,7.49544,4.05958,0.00016855,0.00016855,0.00016855
24,147.577,1.69883,4.04256,1.42347,0,0,0,0,3.80469,7.53842,3.99382,0.000171481,0.000171481,0.000171481
25,153.498,1.64069,3.788,1.41435,0,0,0,0,3.65667,11.7911,3.84773,0.000174024,0.000174024,0.000174024
26,159.456,1.55989,3.78463,1.35584,0,0,0,0,2.8395,11.3595,3.22202,0.000176179,0.000176179,0.000176179
27,165.483,1.50369,3.66298,1.38799,0,0,0,0,3.19698,11.3487,3.36543,0.000177946,0.000177946,0.000177946
28,171.398,1.61727,3.57747,1.37584,0,0,0,0,3.19698,11.3487,3.36543,0.000179325,0.000179325,0.000179325
29,177.308,1.66469,3.87444,1.40724,0,0,0,0,4.9852,10.9298,4.65654,0.000180316,0.000180316,0.000180316
30,183.229,1.5734,3.74135,1.30955,0,0,0,0,5.12173,11.9177,4.54491,0.000180919,0.000180919,0.000180919
31,189.095,1.49252,3.59283,1.27141,0,0,0,0,5.12173,11.9177,4.54491,0.000181133,0.000181133,0.000181133
32,195.066,1.46798,3.54597,1.33075,0,0,0,0,5.01382,12.0079,4.47572,0.00018096,0.00018096,0.00018096
33,200.935,1.49767,3.59628,1.35783,0,0,0,0,4.90265,10.9451,4.51682,0.000180398,0.000180398,0.000180398
34,206.886,1.66963,3.9932,1.50939,0,0,0,0,4.90265,10.9451,4.51682,0.000179449,0.000179449,0.000179449
35,213.046,1.60076,3.46186,1.36185,0,0,0,0,4.71982,11.2123,4.43547,0.000178111,0.000178111,0.000178111
36,219.184,1.59754,3.56013,1.32884,0,0,0,0,4.71476,10.5709,4.53674,0.000176385,0.000176385,0.000176385
37,225.002,1.46166,3.33002,1.25115,0,0,0,0,4.71476,10.5709,4.53674,0.000174271,0.000174271,0.000174271
38,230.907,1.55747,3.61118,1.41502,0,0,0,0,4.94279,9.30313,4.71358,0.000171769,0.000171769,0.000171769
39,236.991,1.39074,3.2525,1.26921,0,0,0,0,5.043,8.52727,4.73312,0.000168879,0.000168879,0.000168879
40,242.893,1.38242,3.04735,1.23555,0,0,0,0,5.043,8.52727,4.73312,0.000165601,0.000165601,0.000165601
41,248.794,1.3662,3.11933,1.28057,0,0,0,0,5.09799,10.6506,4.91167,0.000161935,0.000161935,0.000161935
42,254.782,1.5336,3.38211,1.32694,0,0,0,0,4.92598,10.1139,4.60598,0.000157881,0.000157881,0.000157881
43,260.659,1.31892,2.99514,1.24898,0,0,0,0,4.92598,10.1139,4.60598,0.000153439,0.000153439,0.000153439
44,266.684,1.53463,3.24947,1.27054,0,0,0,0,4.48528,10.2592,4.16344,0.000148608,0.000148608,0.000148608
45,272.53,1.36044,3.12404,1.26672,0,0,0,0,4.48528,10.2592,4.16344,0.00014339,0.00014339,0.00014339
46,278.518,1.43149,3.04489,1.31614,0,0,0,0,4.24299,11.2336,4.0358,0.000137783,0.000137783,0.000137783
47,284.462,1.42625,3.09791,1.26582,0,0,0,0,4.24299,11.2336,4.0358,0.000131788,0.000131788,0.000131788
48,290.504,1.4731,3.29263,1.24045,0,0,0,0,4.18658,12.1694,4.03509,0.000125406,0.000125406,0.000125406
49,296.376,1.42884,3.29656,1.30212,0,0,0,0,4.18658,12.1694,4.03509,0.000118635,0.000118635,0.000118635
50,302.376,1.50901,3.19831,1.39982,0,0,0,0,4.24462,12.619,4.03937,0.000111476,0.000111476,0.000111476
51,308.38,1.46687,2.99291,1.31548,0,0,0,0,4.24462,12.619,4.03937,0.0001029,0.0001029,0.0001029
52,314.337,1.45281,3.13199,1.25867,0,0,0,0,4.60097,12.0967,4.17043,9.3198e-05,9.3198e-05,9.3198e-05
53,320.111,1.20951,3.84073,1.27701,0,0,0,0,4.60097,12.0967,4.17043,8.3496e-05,8.3496e-05,8.3496e-05
54,326.13,1.57709,3.23472,1.48564,0,0,0,0,4.55825,12.5607,4.23035,7.3794e-05,7.3794e-05,7.3794e-05
55,331.993,1.54408,2.99302,1.33182,0,0,0,0,4.55825,12.5607,4.23035,6.4092e-05,6.4092e-05,6.4092e-05
56,337.884,1.31099,3.00539,1.23224,0,0,0,0,4.34597,14.3811,4.2049,5.439e-05,5.439e-05,5.439e-05
57,343.823,1.2675,2.76209,1.23626,0,0,0,0,4.34597,14.3811,4.2049,4.4688e-05,4.4688e-05,4.4688e-05
58,349.76,1.33275,2.66696,1.20166,0,0,0,0,4.73678,11.8916,4.40698,3.4986e-05,3.4986e-05,3.4986e-05
59,355.615,1.38523,2.84907,1.33523,0,0,0,0,4.73678,11.8916,4.40698,2.5284e-05,2.5284e-05,2.5284e-05
60,361.469,1.54028,3.04644,1.58728,0,0,0,0,4.74057,13.0501,4.42679,1.5582e-05,1.5582e-05,1.5582e-05
