epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3469,2.26062,4.45785,1.57519,0.01317,0.13981,0.03533,0.0195,1.62591,4.37524,1.20565,0.000190703,0.000190703,0.000190703
2,27.4416,1.94391,3.67675,1.33448,0.01805,0.48058,0.05,0.0193,1.70033,3.80577,1.24069,0.000384789,0.000384789,0.000384789
3,39.3145,1.95433,3.12543,1.32461,0.26249,0.09127,0.0882,0.03602,1.67266,3.05031,1.27683,0.000576934,0.000576934,0.000576934
4,50.3712,1.91179,2.8512,1.34534,0.12376,0.2685,0.14376,0.06981,1.62786,2.33268,1.21634,0.000579268,0.000579268,0.000579268
5,61.5736,1.83606,2.64521,1.29856,0.2106,0.28022,0.21154,0.09916,1.61383,2.04748,1.22159,0.000576358,0.000576358,0.000576358
6,73.7966,1.81216,2.50586,1.28904,0.17233,0.32822,0.19008,0.09007,1.61457,2.04435,1.23589,0.000573447,0.000573447,0.000573447
7,85.7844,1.77319,2.35672,1.30869,0.28521,0.42964,0.31932,0.15002,1.52996,1.90893,1.22766,0.000570536,0.000570536,0.000570536
8,97.8196,1.74245,2.2279,1.27261,0.23263,0.4355,0.28021,0.1301,1.62576,2.07445,1.23977,0.000567626,0.000567626,0.000567626
9,109.771,1.74495,2.18959,1.2718,0.33965,0.43841,0.35664,0.16909,1.54766,1.90424,1.1953,0.000564715,0.000564715,0.000564715
10,120.65,1.72443,2.05809,1.26271,0.39432,0.47736,0.3973,0.17834,1.58893,1.82091,1.2388,0.000561805,0.000561805,0.000561805
11,131.877,1.71959,2.04754,1.29174,0.33318,0.53166,0.40363,0.20704,1.49891,1.64823,1.207,0.000558894,0.000558894,0.000558894
12,143.88,1.65995,1.97354,1.25237,0.39413,0.55352,0.46397,0.2374,1.44808,1.62446,1.1715,0.000555983,0.000555983,0.000555983
13,155.752,1.66649,1.93082,1.26189,0.4071,0.60902,0.48005,0.24073,1.52709,1.57789,1.22898,0.000553073,0.000553073,0.000553073
14,167.592,1.67538,1.84656,1.25758,0.4125,0.5679,0.45049,0.23559,1.53447,1.64587,1.23168,0.000550162,0.000550162,0.000550162
15,178.403,1.60435,1.84048,1.23343,0.44137,0.60454,0.48514,0.23415,1.47848,1.49092,1.17908,0.000547252,0.000547252,0.000547252
16,189.317,1.67501,1.81989,1.23742,0.50651,0.55571,0.55198,0.289,1.45509,1.47371,1.19343,0.000544341,0.000544341,0.000544341
17,201.134,1.65125,1.7442,1.24211,0.45481,0.59997,0.56101,0.29661,1.45356,1.47196,1.1855,0.00054143,0.00054143,0.00054143
18,213.04,1.59713,1.68034,1.2343,0.51874,0.63555,0.61387,0.32672,1.51513,1.4105,1.20153,0.00053852,0.00053852,0.00053852
19,225.112,1.60491,1.63653,1.22472,0.43842,0.62951,0.52165,0.27343,1.47841,1.48691,1.17722,0.000535609,0.000535609,0.000535609
20,236.637,1.58761,1.62098,1.21873,0.5401,0.63627,0.61488,0.32919,1.45202,1.33273,1.18672,0.000532699,0.000532699,0.000532699
21,247.296,1.54767,1.60145,1.19889,0.52819,0.59108,0.57826,0.31208,1.51824,1.3614,1.2293,0.000529788,0.000529788,0.000529788
22,259.071,1.5745,1.56303,1.21393,0.4703,0.68678,0.58135,0.30186,1.55755,1.31972,1.2374,0.000526877,0.000526877,0.000526877
