epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.27887,1.76166,4.50729,3.05736,2.13172,0.00333,1,0.58514,0.2946,0.00333,1,0.67658,0.31956,0.8916,2.12423,3.01631,1.47196,0.00022,0.00022,0.00022
2,11.892,0.79161,1.36375,2.16666,1.19583,0.00333,1,0.94119,0.70324,0.00333,1,0.94119,0.7175,0.6146,2.16495,2.86746,1.26821,0.000455446,0.000455446,0.000455446
3,16.4502,0.64121,0.9062,1.46773,1.06956,0.00333,1,0.69313,0.41441,0.00235,0.70588,0.47485,0.16584,0.99136,4.53864,2.99179,1.54951,0.00068614,0.00068614,0.00068614
4,22.0683,0.6268,0.70574,1.10292,1.05341,0.00429,1,0.33591,0.23096,0.00429,1,0.33324,0.26545,0.86765,2.59136,2.95346,1.56943,0.000912082,0.000912082,0.000912082
5,27.123,0.65978,0.68415,1.01437,1.05236,0.19462,0.23529,0.28684,0.22503,0.19462,0.23529,0.28684,0.25492,0.63328,1.26867,2.76807,1.16159,0.00113327,0.00113327,0.00113327
6,32.4108,0.62242,0.63558,0.9593,1.02315,0.66885,0.83199,0.81178,0.69183,0.66885,0.83199,0.81178,0.79555,0.67256,0.58537,2.49605,1.39554,0.00134971,0.00134971,0.00134971
7,37.717,0.59472,0.5774,0.86977,1.02648,0.84826,0.58824,0.75142,0.45201,0.84826,0.58824,0.67089,0.37787,0.98112,7.56546,2.53534,1.74162,0.0015614,0.0015614,0.0015614
8,42.0911,0.61782,0.65136,0.89122,1.02392,1,0.9797,0.995,0.85271,1,0.9797,0.995,0.89911,0.65401,1.53249,1.78865,1.29995,0.00176833,0.00176833,0.00176833
9,47.649,0.68513,0.63826,0.90045,1.05696,0.89367,1,0.98342,0.76926,0.89367,1,0.98342,0.92135,0.61399,0.90634,1.5633,1.28258,0.0018416,0.0018416,0.0018416
10,52.1158,0.55961,0.54229,0.73134,1.00137,1,0.99429,0.995,0.85742,0.98915,0.94118,0.96104,0.93581,0.55294,1.10156,1.08636,1.14439,0.0018218,0.0018218,0.0018218
