epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.34274,1.76791,4.55469,3.08508,2.08679,0.00333,1,0.40105,0.22767,0.00333,1,0.39307,0.26332,0.9719,2.02011,3.03109,1.52712,0.0002,0.0002,0.0002
2,9.51717,0.83514,1.55611,2.34696,1.23603,0.00333,1,0.995,0.77315,0.00333,1,0.995,0.87379,0.63901,1.14372,2.83169,1.18619,0.000415842,0.000415842,0.000415842
3,16.1017,0.61661,0.85558,1.56099,1.03601,0.00333,1,0.98794,0.78954,0.00333,1,0.98794,0.85645,0.48596,0.94849,2.65796,1.02098,0.000627328,0.000627328,0.000627328
4,23.8406,0.61094,0.75355,1.19284,1.03856,0.24347,0.875,0.51283,0.19311,0.27825,1,0.84704,0.78342,1.67252,0.69253,3.34599,2.30199,0.000834458,0.000834458,0.000834458
5,28.9103,0.59592,0.72648,1.08889,1.03009,0.65783,0.75,0.68713,0.26038,0.80796,0.7898,0.91947,0.75756,1.27955,0.84819,3.03657,1.9129,0.00103723,0.00103723,0.00103723
6,32.9057,0.5796,0.66387,0.96561,1.00533,0.70555,0.89929,0.81306,0.49054,0.70555,0.89929,0.85564,0.77634,0.79571,0.46201,2.53705,1.3638,0.00123565,0.00123565,0.00123565
7,37.931,0.63286,0.63628,0.9592,1.03043,0.99152,1,0.995,0.87409,0.99152,1,0.995,0.97762,0.56938,0.47141,2.20435,1.10226,0.00142971,0.00142971,0.00142971
8,42.2596,0.62575,0.57587,0.8877,1.02422,0.99135,1,0.995,0.86923,0.99135,1,0.995,0.94468,0.53939,0.61249,2.03146,1.05007,0.00161942,0.00161942,0.00161942
9,46.326,0.60467,0.56551,0.89746,1.03588,0.9997,1,0.995,0.85017,0.9997,1,0.995,0.94114,0.54138,0.57155,1.62153,1.05333,0.00180477,0.00180477,0.00180477
10,51.2327,0.61363,0.5734,0.79918,1.00912,0.98079,1,0.995,0.86334,0.98079,1,0.995,0.91583,0.55181,0.83318,1.5505,1.07082,0.0018218,0.0018218,0.0018218
11,55.1449,0.5576,0.53972,0.74676,0.98239,0.82443,0.875,0.93015,0.68717,0.82443,0.875,0.93015,0.7447,0.64179,0.87905,1.92172,1.07552,0.001802,0.001802,0.001802
12,59.0826,0.59363,0.57982,0.747,0.99998,0.82792,1,0.97803,0.81909,0.82792,1,0.97803,0.90964,0.57331,0.36649,1.24679,1.1494,0.0017822,0.0017822,0.0017822
13,63.9559,0.54484,0.56073,0.7052,0.99806,0.71961,0.6875,0.77619,0.63519,0.71961,0.6875,0.77619,0.72806,0.56399,0.52468,1.66367,1.08119,0.0017624,0.0017624,0.0017624
14,67.8196,0.56453,0.54089,0.6617,0.99714,0.68103,1,0.80691,0.73861,0.68103,1,0.80691,0.73333,0.44932,0.95461,1.3186,0.97617,0.0017426,0.0017426,0.0017426
15,71.7592,0.58787,0.59881,0.68263,1.01108,0.91055,0.9375,0.9459,0.82548,0.91055,0.9375,0.9555,0.90706,0.52431,0.47046,1.16495,1.01103,0.0017228,0.0017228,0.0017228
16,76.7574,0.54589,0.5309,0.63236,0.99724,0.93929,0.96787,0.97324,0.9223,0.93929,0.96787,0.97324,0.9114,0.42795,0.60088,1.57947,0.95628,0.001703,0.001703,0.001703
17,80.636,0.55701,0.53371,0.61234,0.99641,0.99982,1,0.995,0.86236,0.99982,1,0.995,0.76598,0.52992,1.48333,1.11779,1.06236,0.0016832,0.0016832,0.0016832
18,84.5832,0.57968,0.51459,0.61615,1.02211,0.98815,1,0.995,0.92259,0.98815,1,0.995,0.58265,0.42739,3.32742,0.69577,0.97654,0.0016634,0.0016634,0.0016634
19,89.7629,0.52143,0.45818,0.581,0.98147,0.8839,1,0.96896,0.86967,0.8839,1,0.96896,0.88165,0.43515,1.0096,0.69573,0.96311,0.0016436,0.0016436,0.0016436
20,93.6358,0.53511,0.51531,0.5607,0.97341,0.99084,1,0.995,0.89424,0.99084,1,0.995,0.98707,0.42714,0.41112,0.59765,0.91813,0.0016238,0.0016238,0.0016238
21,97.5445,0.49608,0.50188,0.51209,0.97024,0.99111,1,0.995,0.91093,0.99111,1,0.995,0.96415,0.45557,0.43892,0.67548,0.95735,0.001604,0.001604,0.001604
22,103.387,0.50203,0.50088,0.53364,0.96401,0.99625,1,0.995,0.90554,0.99625,1,0.995,0.97283,0.48023,0.59606,0.67898,0.99832,0.0015842,0.0015842,0.0015842
23,107.345,0.47525,0.41404,0.4955,0.9565,0.99612,1,0.995,0.9587,0.99612,1,0.995,0.98707,0.36301,0.3773,0.4882,0.88937,0.0015644,0.0015644,0.0015644
24,111.256,0.45556,0.41401,0.47616,0.95535,0.99577,1,0.995,0.93462,0.99577,1,0.995,0.98551,0.37305,0.36368,0.44573,0.88556,0.0015446,0.0015446,0.0015446
25,116.19,0.46453,0.40081,0.47892,0.95598,0.99522,1,0.995,0.95204,0.99522,1,0.995,0.995,0.32105,0.23641,0.43289,0.83314,0.0015248,0.0015248,0.0015248
26,120.237,0.48573,0.48823,0.47556,0.94504,0.99513,1,0.995,0.97254,0.99513,1,0.995,0.995,0.32289,0.2166,0.46863,0.8508,0.001505,0.001505,0.001505
27,124.158,0.44076,0.43143,0.45171,0.95284,0.9966,1,0.995,0.9505,0.9966,1,0.995,0.97515,0.32402,0.3624,0.41283,0.85268,0.0014852,0.0014852,0.0014852
28,129.108,0.46147,0.45479,0.42305,0.93768,0.99682,1,0.995,0.92177,0.99682,1,0.995,0.98864,0.36775,0.28343,0.40944,0.92217,0.0014654,0.0014654,0.0014654
29,132.909,0.47377,0.44654,0.43785,0.94524,0.99692,1,0.995,0.96544,0.99692,1,0.995,0.98901,0.34299,0.30634,0.38541,0.89165,0.0014456,0.0014456,0.0014456
30,137.121,0.44872,0.42604,0.42935,0.95088,0.99702,1,0.995,0.92727,0.99702,1,0.995,0.995,0.43009,0.25067,0.45289,0.93993,0.0014258,0.0014258,0.0014258
31,142.129,0.4733,0.41428,0.43461,0.95804,0.99673,1,0.995,0.93291,0.99673,1,0.995,0.98589,0.38731,0.27625,0.4244,0.88668,0.001406,0.001406,0.001406
32,146.073,0.49305,0.47123,0.42904,0.96363,0.99644,1,0.995,0.93866,0.99644,1,0.995,0.995,0.3973,0.29407,0.4063,0.92235,0.0013862,0.0013862,0.0013862
33,149.998,0.46078,0.43862,0.40615,0.94284,0.99224,1,0.995,0.94553,0.99224,1,0.995,0.98746,0.3471,0.2919,0.38509,0.84455,0.0013664,0.0013664,0.0013664
34,155.055,0.46072,0.45238,0.40216,0.94314,0.99383,1,0.995,0.94369,0.99383,1,0.995,0.98708,0.33859,0.32681,0.34714,0.83627,0.0013466,0.0013466,0.0013466
35,158.936,0.42801,0.43567,0.37272,0.93075,0.99658,1,0.995,0.96765,0.99658,1,0.995,0.995,0.27262,0.2727,0.28796,0.80027,0.0013268,0.0013268,0.0013268
36,162.846,0.41098,0.39218,0.37399,0.93375,0.99551,1,0.995,0.95646,0.99551,1,0.995,0.995,0.31915,0.2625,0.3131,0.81803,0.001307,0.001307,0.001307
37,167.853,0.40722,0.44363,0.3801,0.9269,0.9913,1,0.995,0.9581,0.9913,1,0.995,0.98671,0.31027,0.2626,0.33238,0.83581,0.0012872,0.0012872,0.0012872
